No    x1       x2      x3    x4
01  0.9694  0.6909 0.4334  3.4965
02  0.5427  1.3832 0.6390  4.0352
03  0.6081 -0.9196 0.5925  0.1016
04 -0.1618  0.4694 0.2030  3.0117
05  0.1870 -0.2578 0.6124  1.7749
06  0.4891 -0.5276 0.4378  0.6439
07  0.3777  2.0149 0.7423  3.3932
08  1.1498 -0.4067 0.2469  1.5866
09  0.9325  1.0950 1.0359  3.3591
10  0.5060  1.3317 0.9222  3.7174
11  0.0497 -2.0656 0.6124 -0.6585
12  0.4004  3.5369 0.9766  5.3532
13 -0.1874  1.3343 0.5374  3.2189
14  0.5060  1.3317 0.9222  3.7174
15  1.6375 -0.7911 0.7537  0.5515
