No    x1     x2    d 
1   0.2563 0.9503 -1 
2   0.2405 0.9018 -1 
3   0.1157 0.3676  1 
4   0.5147 0.0167  1 
5   0.4127 0.3275  1 
6   0.2809 0.583   1 
7   0.8263 0.9301 -1 
8   0.9359 0.8724 -1 
9   0.1096 0.9165 -1 
10  0.5158 0.8545 -1 
11  0.1334 0.1362  1 
12  0.6371 0.1439  1 
13  0.7052 0.6277 -1 
14  0.8703 0.8666 -1 
15  0.2612 0.6109  1 
16  0.0244 0.5279  1 
17  0.9588 0.3672 -1 
18  0.9332 0.5499 -1 
19  0.9623 0.2961 -1 
20  0.7297 0.5776 -1 
21  0.4560 0.1871  1 
22  0.1715 0.7713  1 
23  0.5571 0.5485 -1 
24  0.3344 0.0259  1 
25  0.4803 0.7635 -1 
26  0.9721 0.485  -1 
27  0.8318 0.7844 -1 
28  0.1373 0.0292  1 
29  0.3660 0.8581 -1 
30  0.3626 0.7302 -1 
31  0.6474 0.3324  1 
32  0.3461 0.2398  1 
33  0.1353 0.812   1 
34  0.3463 0.1017  1 
35  0.9086 0.1947 -1 
36  0.5227 0.2321  1 
37  0.5153 0.2041  1 
38  0.1832 0.0661  1 
39  0.5015 0.9812 -1 
40  0.5024 0.5274 -1 
