        x1        x2        x3        x4
    0.9694    0.6909    0.4334    3.4965
    0.5427    1.3832    0.6390    4.0352
    0.6081   -0.9196    0.5925    0.1016
   -0.1618    0.4694    0.2030    3.0117
    0.1870   -0.2578    0.6124    1.7749
    0.4891   -0.5276    0.4378    0.6439
    0.3777    2.0149    0.7423    3.3932
    1.1498   -0.4067    0.2469    1.5866
    0.9325    1.0950    1.0359    3.3591
    0.5060    1.3317    0.9222    3.7174
    0.0497   -2.0656    0.6124   -0.6585
    0.4004    3.5369    0.9766    5.3532
   -0.1874    1.3343    0.5374    3.2189
    0.5060    1.3317    0.9222    3.7174
    1.6375   -0.7911    0.7537    0.5515
